Cs Background,Viz Type,Problem ,Domain,Comprehension Score,Plan Created,Plan Corrected,Correction Time
no,Viz,Incorrect,Correct,4,TRUE,FALSE,290.6437306
yes,Viz,Incorrect,Correct,7,TRUE,TRUE,71.85750556
yes,Viz,Incorrect,Correct,7,TRUE,TRUE,183.0313745
no,Viz,Incorrect,Correct,6,TRUE,TRUE,118.5496066
no,Viz,Incorrect,Correct,7,TRUE,TRUE,238.6782041
no,Viz,Incorrect,Correct,7,TRUE,TRUE,141.5364618
yes,Viz,Incorrect,Correct,6,TRUE,TRUE,265.5254796
no,Viz,Incorrect,Correct,6,TRUE,TRUE,175.0922613
yes,Viz,Incorrect,Correct,1,TRUE,FALSE,103.8779504
no,Viz,Incorrect,Correct,7,TRUE,TRUE,170.0804484
no,Viz,Incorrect,Correct,7,TRUE,TRUE,458.3637245
no,Viz,Incorrect,Correct,4,TRUE,FALSE,186.0729442
no,Viz,Incorrect,Correct,7,TRUE,TRUE,394.9144034
yes,Viz,Incorrect,Correct,5,TRUE,TRUE,463.3759389
no,Viz,Incorrect,Correct,6,TRUE,TRUE,322.7243621
no,Viz,Incorrect,Correct,7,TRUE,TRUE,273.4893386
no,Viz,Incorrect,Correct,6,TRUE,TRUE,278.9313598
no,Viz,Incorrect,Correct,6,TRUE,FALSE,144.5671802
no,Viz,Incorrect,Correct,7,TRUE,TRUE,78.02371597
no,Viz,Incorrect,Correct,5,TRUE,TRUE,188.8225107
no,Viz,Incorrect,Correct,4,TRUE,FALSE,92.03723669
yes,Viz,Incorrect,Correct,5,TRUE,TRUE,298.7975726
no,Viz,Incorrect,Correct,6,TRUE,TRUE,207.0451944
no,Viz,Incorrect,Correct,5,TRUE,FALSE,105.9409626
yes,Viz,Incorrect,Correct,5,TRUE,TRUE,136.4492006
no,Viz,Incorrect,Correct,3,TRUE,TRUE,92.81891346
no,Viz,Incorrect,Correct,7,TRUE,FALSE,504.2803581
no,Viz,Incorrect,Correct,7,TRUE,FALSE,132.3935342
no,Viz,Incorrect,Correct,5,TRUE,FALSE,142.8103895
no,Viz,Incorrect,Correct,7,TRUE,TRUE,129.7468605
no,Viz,Incorrect,Correct,7,TRUE,TRUE,105.148104
no,Viz,Incorrect,Correct,7,TRUE,TRUE,181.0894432
no,Viz,Incorrect,Correct,7,TRUE,TRUE,96.82672286
yes,Viz,Incorrect,Correct,5,TRUE,TRUE,114.933902
no,Viz,Incorrect,Correct,4,TRUE,FALSE,267.5513554
yes,Viz,Incorrect,Correct,6,TRUE,TRUE,165.1942487
yes,Viz,Incorrect,Correct,4,TRUE,FALSE,169.9981942
no,Viz,Incorrect,Correct,4,TRUE,FALSE,184.8740022
no,Viz,Incorrect,Correct,6,TRUE,TRUE,185.4118474
yes,Viz,Incorrect,Correct,6,TRUE,TRUE,158.397197
no,Viz,Incorrect,Correct,5,TRUE,TRUE,255.8445935
yes,Viz,Incorrect,Correct,6,TRUE,TRUE,407.5153985
no,Viz,Incorrect,Correct,7,TRUE,TRUE,267.8773367
no,Viz,Incorrect,Correct,,FALSE,,
yes,Viz,Incorrect,Correct,,FALSE,,
yes,Viz,Incorrect,Correct,,FALSE,,
no,Viz,Incorrect,Correct,,FALSE,,
yes,Viz,Incorrect,Correct,,FALSE,,
no,Viz,Incorrect,Correct,,FALSE,,
