age,correction_end,correction_start,correction_time,cs_background,domain,education,explanation_answers,explanation_end,explanation_start,explanation_time,feedback_answers,gender,plan_corrected,plan_creation,planning_background,planning_end,planning_start,planning_time,problem,user_plan,user_plan_corrected,viz_type,attention1,attention2
28,1607650804,1607650580,223.1662138,yes,FALSE,gradschool,"{""q1_insights"": ""missing_info"", ""q2_insights"": ""move airplane didnt check that the destination location is a hub aswell  missing precondition "", ""q3_insights"": ""Yes  I was not informed that the destination location has to be a hub aswell "", ""q5_insights"": ""move airplane needs to check for precondition is hub destination location  "", ""q_attention_insights"": ""I am attentive"", ""q6_insights"": {""Action_error"": true, ""Problem_error"": false}, ""q7_insights"": [""move-airplane""], ""q8_insights"": [""loc-3""]}",1607650559,1607650210,349.0846124,,male,1,TRUE,no,1607650168,1607650044,124.2295945,TRUE,"[[""load-airplane"", ""package1"", ""airplane1"", ""location3""], [""move-airplane"", ""airplane1"", ""location3"", ""location2""], [""unload-airplane"", ""package1"", ""airplane1"", ""location2""]]","[[""load-airplane"", ""package1"", ""airplane1"", ""location3""], [""move-airplane"", ""airplane1"", ""location3"", ""location1""], [""unload-airplane"", ""package1"", ""airplane1"", ""location1""], [""load-truck"", ""package1"", ""truck2"", ""location1""], [""move-truck"", ""truck2"", ""location1"", ""location2"", ""city1""], [""unload-truck"", ""package1"", ""truck2"", ""location2""]]",viz,I am attentive,
22,1607643595,1607642516,1078.64239,no,FALSE,other,"{'q1_insights': 'missing_info', 'q2_insights': 'My plan is invalid because I was not given the right information to provide  The information being the source location and destination location of the 2 hubs  That information was crusial as a precondition so as to execute the order move airplane ', 'q3_insights': 'The information was the starting source location and destination location of the hubs from where the airplane would depart and arrive ', 'q5_insights': 'The corrections for the plan to achieve the goal would be to explicitly indicate the source location of the hub and the destination location of the other hub  before executing the move airplane order ', 'q_attention_insights': 'I am attentive', 'q6_insights': {'Action_error': True, 'Problem_error': False}, 'q7_insights': ['move-airplane'], 'q8_insights': ['airplane-1', 'airplane-2']}",1607642492,1607641871,620.9078178,"{'q1': '2', 'q2': '5', 'q3': '4', 'q4': '5', 'q5': '4', 'q6': '4', 'q7': '1', 'q8': '5', 'q9': '2', 'q10': '5', 'q11': '5', 'q12': '3', 'q13': '4', 'attention_check': '1', 'q14': 'I think that it would be useful to be able to indicate the preconditions in the actions pannel  however I am not sure if it is practical or doable '}",female,1,TRUE,no,1607641825,1607641325,500.6908216,TRUE,"[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location1'], ['unload-airplane', 'package1', 'airplane1', 'location1'], ['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]","[['move-truck', 'truck1', 'location4', 'location3', 'city2'], ['load-truck', 'package1', 'truck1', 'location3'], ['move-truck', 'truck1', 'location3', 'location3', 'city2'], ['unload-truck', 'package1', 'truck1', 'location3'], ['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location1'], ['unload-airplane', 'package1', 'airplane1', 'location1'], ['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]",text,I am attentive,1
19,1607643133,1607642203,929.7762859,yes,FALSE,college,"{'q1_insights': 'wrong_info', 'q2_insights': 'The objects could have been positioned in different locations from the information provided and or the hub locations given where incorrect ', 'q3_insights': 'the locations which are hubs  assuming everything else is in the correct place accordingly with the information provided ', 'q5_insights': 'check if the preconditions is hub source location  and is hub destination location  are true before the executing action move airplane       and plan a different route if not ', 'q_attention_insights': 'I am attentive', 'q6_insights': {'Action_error': False, 'Problem_error': True}, 'q7_insights': ['move-airplane'], 'q8_insights': ['loc-3']}",1607642161,1607640870,1291.310368,"{'q1': '4', 'q2': '4', 'q3': '2', 'q4': '5', 'q5': '5', 'q6': '5', 'q7': '2', 'q8': '5', 'q9': '1', 'q10': '5', 'q11': '2', 'q12': '3', 'q13': '3', 'attention_check': '1', 'q14': 'I wasn t sure if the explanation was showing the precodintion wich were false and therefore pointing the error or something else '}",male,1,TRUE,no,1607640805,1607640608,196.4914646,TRUE,"[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location1'], ['unload-airplane', 'package1', 'airplane1', 'location1'], ['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]","[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location1'], ['unload-airplane', 'package1', 'airplane1', 'location1'], ['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]",text,I am attentive,1
23,1607642336,1607641478,857.9317746,yes,FALSE,other,"{'q1_insights': 'missing_info', 'q2_insights': 'No ser a v lido porque faltar an dos condicionantes necesarias para efectuarlo de manera correcta  No sab a que se requer a m s datos como is hub', 'q3_insights': 'Se enfoca mucho m s en las acciones m s importantes que en las b sicas  las cuales pas  por alto ', 'q5_insights': 'A adir las acciones de  required precondition for move airplane  is hub source location  required precondition for move airplane  is hub destination location  ', 'q_attention_insights': 'I am attentive', 'q6_insights': {'Action_error': True, 'Problem_error': False}, 'q7_insights': ['move-airplane'], 'q8_insights': ['loc-3']}",1607641453,1607641137,315.9498732,"{'q1': '5', 'q2': '5', 'q3': '5', 'q4': '4', 'q5': '5', 'q6': '4', 'q7': '3', 'q8': '4', 'q9': '5', 'q10': '4', 'q11': '5', 'q12': '5', 'q13': '4', 'attention_check': '1', 'q14': 'No utilic  la funcion de ayuda'}",female,0,TRUE,no,1607641072,1607640315,757.5833058,TRUE,"[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location2'], ['unload-airplane', 'package1', 'airplane1', 'location2']]","[['move-truck', 'truck1', 'location3', 'location4', 'city2'], ['load-truck', 'package1', 'truck1', 'location4'], ['move-truck', 'truck1', 'location4', 'location3', 'city2'], ['unload-truck', 'package1', 'truck1', 'location3'], ['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location2'], ['unload-airplane', 'package1', 'airplane1', 'location2']]",text,I am attentive,1
22,1607642363,1607641711,651.6044259,yes,FALSE,other,"{'q1_insights': 'user', 'q2_insights': 'My plan is invalid because it did not include the required precondition for move airplane  is hub source location  as well as is hub destination location  ', 'q3_insights': 'No  I do not understand what information was omitted conveyed incorrectly by Rob ', 'q5_insights': 'There are two corrections concerning hubs ', 'q_attention_insights': 'I am attentive ', 'q6_insights': {'Action_error': True, 'Problem_error': False}, 'q7_insights': [], 'q8_insights': []}",1607641682,1607640802,879.926131,"{'q1': '3', 'q2': '3', 'q3': '3', 'q4': '3', 'q5': '4', 'q6': '4', 'q7': '1', 'q8': '4', 'q9': '2', 'q10': '4', 'q11': '4', 'q12': '4', 'q13': '4', 'attention_check': '1', 'q14': 'No '}",male,1,TRUE,no,1607640758,1607640426,332.0168886,TRUE,"[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location2'], ['unload-airplane', 'package1', 'airplane1', 'location2']]","[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location1'], ['unload-airplane', 'package1', 'airplane1', 'location1'], ['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]",text,I am attentive ,1
22,1607497677,1607497135,542.3440297,no,TRUE,college,"{'q1_insights': 'wrong_info', 'q2_insights': 'My plan was valid but the initial state was something the robot changed in this step', 'q3_insights': 'Yes  when changing the initial state it completely changes the procedure', 'q5_insights': 'Well  I would have given thought to a whole new procedure that followed the steps starting in location3 ', 'q_attention_insights': 'I am attentive', 'q6_insights': {'Action_error': False, 'Problem_error': True}, 'q7_insights': ['load-truck', 'move-truck', 'unload-truck'], 'q8_insights': ['package-loc']}",1607497104,1607496829,275.3857112,"{'q1': '5', 'q2': '5', 'q3': '4', 'q4': '4', 'q5': '5', 'q6': '5', 'q7': '2', 'q8': '4', 'q9': '1', 'q10': '5', 'q11': '5', 'q12': '5', 'q13': '4', 'attention_check': '1', 'q14': 'I do not have any suggestions  I still don t know if I got it  but this was fun '}",female,1,TRUE,no,1607496786,1607496581,204.6255448,FALSE,"[['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]","[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location1'], ['unload-airplane', 'package1', 'airplane1', 'location1'], ['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]",text,I am attentive,1
20,1607651960,1607651421,539.7914693,no,FALSE,college,"{'q1_insights': 'user', 'q2_insights': 'I forgot to put is hub location2  action', 'q3_insights': 'No  maybe the Rob did not teach that I need to do is hub location2  don t remember', 'q5_insights': 'needed to put the action about the hub on location2', 'q_attention_insights': 'I am attentive', 'q6_insights': {'Action_error': True, 'Problem_error': False}, 'q7_insights': ['unload-airplane'], 'q8_insights': []}",1607651387,1607650471,915.5669782,"{'q1': '3', 'q2': '3', 'q3': '4', 'q4': '4', 'q5': '4', 'q6': '4', 'q7': '1', 'q8': '4', 'q9': '2', 'q10': '4', 'q11': '2', 'q12': '4', 'q13': '4', 'attention_check': '1', 'q14': 'I found the system easy to understand  I just didn t quite understand the problem with my plan  Because it said that the precondition  is hub  location2   was missing  I just didn t realize it  because for me  the plane just had to take the box  move to the location and take the box out  But apparently  something was missing in relation to the  is hub  location2   '}",male,1,TRUE,no,1607650384,1607650108,276.3736107,TRUE,"[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location2'], ['unload-airplane', 'package1', 'airplane1', 'location2']]","[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location1'], ['unload-airplane', 'package1', 'airplane1', 'location1'], ['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]",viz,I am attentive,1
24,1607496855,1607496318,537.7309256,yes,TRUE,college,"{'q1_insights': 'wrong_info', 'q2_insights': 'I never picked up the package  it was in location 3 and rob told me it was in 4', 'q3_insights': 'Yes  afterall is an AI  machines arent perfect', 'q5_insights': 'change location 1 for 3', 'q_attention_insights': 'I am attentive', 'q6_insights': {'Action_error': False, 'Problem_error': True}, 'q7_insights': ['move-truck'], 'q8_insights': ['package-loc']}",1607496301,1607496081,219.3427837,"{'q1': '1', 'q2': '5', 'q3': '5', 'q4': '5', 'q5': '5', 'q6': '5', 'q7': '3', 'q8': '5', 'q9': '1', 'q10': '4', 'q11': '5', 'q12': '5', 'q13': '5', 'attention_check': '1', 'q14': 'Not this time  i feel this is a very well explained programming lesson'}",male,1,TRUE,no,1607496028,1607495615,413.0386817,FALSE,"[['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]","[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location1'], ['unload-airplane', 'package1', 'airplane1', 'location1'], ['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]",text,I am attentive,1
24,1607642670,1607642149,520.8371859,no,FALSE,other,"{'q1_insights': 'missing_info', 'q2_insights': 'My plan is invalid because in order for the plane to move between places  both the source location and the destination location need to be hubs  From what I can remember  location2 is not a hub  therefore the plane cannot move  I would need to use a truck to get the package to a hub location  I didn t know about the precondition  both locations need to be hubs   so I did not consider it when making the plan ', 'q3_insights': 'Yes  the fact that there is a required precondition for the plane to move  both locations must be hubs  ', 'q5_insights': 'I need to move the package to a hub  using a truck   it can travel by airplane only between hubs', 'q_attention_insights': 'I am attentive', 'q6_insights': {'Action_error': True, 'Problem_error': False}, 'q7_insights': ['move-airplane'], 'q8_insights': []}",1607642095,1607641070,1024.958329,"{'q1': '5', 'q2': '4', 'q3': '4', 'q4': '4', 'q5': '4', 'q6': '5', 'q7': '1', 'q8': '4', 'q9': '2', 'q10': '5', 'q11': '5', 'q12': '4', 'q13': '4', 'attention_check': '1', 'q14': 'I do not have any suggestions  I think that all I needed to know was explained to me with each step'}",female,1,TRUE,no,1607641008,1607640649,359.2078972,TRUE,"[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location2'], ['unload-airplane', 'package1', 'airplane1', 'location2']]","[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location1'], ['unload-airplane', 'package1', 'airplane1', 'location1'], ['load-truck', 'package1', 'truck2', 'location1'], ['move-truck', 'truck2', 'location1', 'location2', 'city1'], ['unload-truck', 'package1', 'truck2', 'location2']]",text,I am attentive,1
25,1607643305,1607642789,516.1818888,no,FALSE,college,"{'q1_insights': 'wrong_info', 'q2_insights': 'Rob gave me worng information  ', 'q3_insights': 'No ', 'q5_insights': 'I need to predict for moving my loading vehicles', 'q_attention_insights': 'I am attentive', 'q6_insights': {'Action_error': True, 'Problem_error': False}, 'q7_insights': ['move-airplane'], 'q8_insights': []}",1607642768,1607642349,419.6681767,"{'q1': '1', 'q2': '4', 'q3': '2', 'q4': '4', 'q5': '4', 'q6': '2', 'q7': '4', 'q8': '3', 'q9': '4', 'q10': '2', 'q11': '2', 'q12': '1', 'q13': '4', 'attention_check': '1', 'q14': ''}",male,0,TRUE,yes,1607642301,1607642158,143.4643571,TRUE,"[['load-airplane', 'package1', 'airplane1', 'location3'], ['move-airplane', 'airplane1', 'location3', 'location2'], ['unload-airplane', 'package1', 'airplane1', 'location2']]","[['move-airplane', 'airplane1', 'location3', 'location3'], ['load-airplane', 'package1', 'airplane1', 'city2'], ['move-airplane', 'airplane1', 'location3', 'location2'], ['unload-airplane', 'package1', 'airplane1', 'city1']]",text,I am attentive,1
